Português,Tupi Antigo
"Desviaste de alguém, detestando-o, para não o ver?",Ereîpynekûápe abá i amotare'yma nhẽ sepîaka suí?
Hei de me esconder bem,Aîemĩngatupe ká
Que venha para levá-los todos,T'oú serasóbo pá
"tijucal, grande atoleiro, pântano",tuîukusu
"madeira fina, ótima",ybyrá-eté
Fazendo escorrer o sangue dele,Sugûy mosyryka i xuí
"Igualmente, após dá-lo à luz, estando virgem","A'erame'ĩ i mbo'ar'iré, omarane'ymamo"
"Com uma lança de ferro espetou seu flanco, estourando suas entranhas","Itamina pupé iî yké kutuki, i nhy'ã moboka"
"Dizendo algo, digo asneiras",A'é tenhẽ marã gûi'îabo
Queimemo-lo!,T'ixapy! ou Ixapy!
Atrai-me a roupa daquele,Xe momotar ahẽ aoba
"Após nascer Deus-Filho de sua mãe, os judeus cortaram seu prepúcio",Tupã Ta'yra o sy suí i 'ar'iré îudeus i 'apira mondoki
"no meio, no centro, pelo meio, pela metade",oîopyterybo
Deveria ir,Asó temonemo
Eu estou esquelético,Xe kangûer
uns atrás dos outros,o îoakypûé-kypûeri
Saiu-me de través,Xe raîé i xemi
"Eis que era famosa, certamente, a bela vida de Maria","Anhẽté, kó serapûan Maria rekó-poranga"
Desviei as águas,Aty-mombîá
castrado,sapi'a'ỹî'okypyra
"Eu hei de bem apanhar-te, na minha armadilha fazendo-te cair","Xe t'oropysy-katu, xe mundépe nde mbo'a"
Enquanto houver o mundo o homem a bendirá?,Ara rekó pukuîpe abá i mombe'ukatune?
Eu sou visitador,Xe posubixûer
Gritei com ele,Aîakab
Tua bondade não cessa,Nde angaturama n'opyki
"Não, não os derrotarás","Aan, nd'ereîtyki xóne"
Eu sou agradável,Xe matueté
"Caem algumas vezes os frutos de suas árvores, sendo ainda flores, outras vezes em seu estado verde, outras vezes caem após seu amadurecimento","Okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé, amõ rakó ogûakyra pupé i kuî, amõ rakó ogûaîub'iré i kuî"
Ele não é fundo,Na typyî
Não parece bem fazer ele a defesa da morte fora de Jesus Cristo,N'i aîarõî Îesu Cristo taté é te'õ suí i îepirapûana
monte de terra,yby-atyra
Eu estou com dúvida,Xe akasang
"Ai, que enfadonho és tu, de fato!",Tekatunheté rakûé endé hegûy!
Como que para ele ficaste gritando hoje,I xupé îasûá oîeí eresapuká-pukaî
Hei de levar todos para meu fogo,T'arasó pá xe ratápe
Pus as bordas dela,Asembe'y-rung
"O próprio Deus a gente honra, de costume",Tupã aé namẽ asé oîmoeté
"Eu estou no cio, eu estou saída",Xe kûaruru
"Antigamente, morrendo eu, o diabo, de repente, minha alma mataria com o pecado","Akûeîme, gûimanõmo, anhanga, esapy'a, xe 'anga oîuká angaîpaba irũmomo"
Se eu tivesse ido,Mba'emeémo asó
"É muito feliz, certamente, o homem, após alcançar alguma verdade",Sorybeté rakó abá mba'eeté amõ resé o îekosub'iré
"Vinde índios, em uníssono","Peîori apŷabetá, oîepé"
o molengão que convido,xe remipoîmembeka
Eu sou uma pessoa desprezível,Xe abangaíba
O que reflete sobre sua morte,Se'õagûera resé onheangerekoba'e
tentando inutilmente o modo antigo de falar,o nhe'engabûera ra'angyîepébo
"Eu estava de pés soltos, meus pés soltaram-se",Xe py-'ir
"Como quando olhais para o céu, vedes sua beleza","Pema'ẽ rame'ĩ ybaka resé, pesepîak i poranga"
Deixa que venha,T'oúne turi
"E, por outra parte, semelhantemente, o próprio mar será mais terrível do que foi seu costume",Kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé
Fui uma vez,Oîepé asó
Será que me perdi?,Xe ropá serã?
"Desvirginaste alguma menina, furando-a, estuprando-a?","Ereîmombukype kunhataĩ amõ, i mokûá, i mondoroka?"
Confia em mim,Eîerobîá xe resé
Que deram à sua mão direita?,Mba'epe oîme'eng i 'ekatuápe?
Tendo falta do acompanhamento da farinha,U'i tyrama resé ekotebẽmo
Eu sou pecador como meu pai,Xe ruba rupi é xe angaîpabamo
Veio a aurora,Our ko'emytanga
"Transtorno o coração das velhas, irritando-as, fazendo-as brigar","Aîpobu gûaîbĩ py'a, i moŷrõmo, i momarana"
Que me livre Deus do pecado,Ta xe pe'a Tupã tekoangaîpaba suí
Mostra o erro de minhas palavras,Eîkuabe'eng xe nhe'engaipaba
farinha da mesma água da mandioca crua coalhada,typy'o-ku'i
"O inimigo da gente, o diabo","Morosumarã, Anhanga"
Danei-me,Anhemoaíb
Não é mais pão,Nd'oîkóî rakó miapéramo
"Eu estou febril, eu tenho febre",Xe rakub
"Talvez seja o anjo, guardião verdadeiro desta aldeia","-Karaibebé serã, kó taba rarõaneté"
"Como dirá a gente em seu coração, olhando para o céu?",Marã e'ipe asé o py'ape ybaka resé oma'ẽmone?
Ele conosco caminharia,A'emo îandé resé i atarimo
"Serão bons, doravante, os que eu guardo de costume","I angaturam, ko'yré, xe remiarõ îandune"
"Para ele trouxeram, como oferendas, ouro, incenso e mirra","I xupé ogûeru îetanongabamo itaîuba, ysykatã syapûãba'e, mirra"
Era muito grande aquela cruz?,Turusu-katupe a'e cruz erimba'e?
toco de braço,îybá-asyka
As juntas de seus ossos afastando umas das outras,I kanga îepotasaba pe'abo o îosuí
Forrei-o,Aîapŷuban
Qual foi o primeiro?,Umãba'e ranhẽpe erimba'e oîkó?
Varri os ciscos,Aytypeir
O que vê um homem furtar sem se importar,Abá mondarõ osepîakĩba'e
Eu tenho palavras afáveis,Xe nhe'engangaturam
Moro de parede-meia,Apyri aîkó
Atiça o fogo para o que cozinhas,Esatapy nde remimõîa
Acredita a gente nisso?,Ogûerobîarype asé eboûinga?
minha antiga região,xe retãmbûera
Eu estou corcunda,Xe aŷpyasur
"Sarauaia, vem para beber cauim","Saraûaî, îori ekagûabo"
Usaste feitiço?,Mosangape ereîpuru?
Estou há longo tempo,Oîeí aîkó
Deixa que eu vá para tentá-los,T'asó sa'anga tenhẽ
Um homem ladrão que foi posto na prisão como pena de chacinas,Abá-mondá morapitîagûera repyramo mundeokype i mondebypyrûera
Comemoramos seu nascimento,I 'aragûera îaîmoeté
Dentro dela está sua divindade?,I pupépe i tupã rekóû?
Chego-me ao fogo,Arobyk tatá
"E pois, como há de ser?",marã-tepene?
água salgada estagnada,ye'ẽ-mbyka
Para o inferno,-A'epe i 'anga mamõ i xóû? -Anhanga ratápe - E sua alma para onde foi?
Eu sou calvo,Xe 'akuî
"Não vitupereis as pessoas, ó meus filhos, para que tenhais seus bens","Pe poroanga'o umẽ, xe ra'yr-y gûé, ta perekó i mba'e"
"Deus-Pai tem mãos, tem mão direita, tem mão esquerda?","I pópe Tupã-Tuba, i 'ekatuápe, i asupe?"
Reformo-o nos costumes,Asekonongatu
Deverias ter sabido antes o que fazias,Ereîkuá ranhẽ meémo emonã nde rekorama
"Compadece-te um pouco de mim, ó morte!",Xe raûsubá-mirĩ îepé te'õ gûé!
Terão bernes e terão vermes os corpos miseráveis dos homens pecadores e das mulheres pecadoras,"I ur, sasok abá-angaîpaba, kunhã-angaîpaba reté-a'ubane"
tranca da porta,okena potãîa
"Apressa-te, corre, vem!","Nde apûan, enhan, eîu!"
Lançando palavras contra a lei de Deus,Tupã rekó koty nhe'enga reîtyka
Minha vaca que crio,Xe reîmbaba tapi'ira
Estou desleixando,Atumbé-tumbek
Sovei-a,Aîaîuká
A mim é como que pedra,Itá berame'ĩ ixébo
"Bateste numa mulher grávida, matando o feto dela?","Erepûarype kunhã muru'abora resé, pitanga îukábo i xuí?"
A ti é que matam?,Ndepe nde îuká?
Torci-me a mão,Aîepó-mongaraû
Costumo alimentar gente,Xe poropoîxûer
Trazei também o tacape!,Ingapema bé peru!
Farta-me o peixe,Xe ytarõ pirá
faca de taquara,takûá-kysé
poeira da terra,yby tubyra
"Falaste duramente a alguém, irritando-o?","Erenhe'eng-aparatãpe abá supé, i moŷrõmo?"
Já vou,A'é uman ûixóbo
Sou um menor de idade,Xe gûyrigûana
"Não faz mal, não há problema",Na sasyî
Eu sou trepador,Xe rybobõ
Não estão casados os que não se casam diante de duas outras pessoas também,Amõ abá abé mokõî robaké omendare'ymba'e n'omendari
Começando-os logo,Taûîé iîypyrunga
"Zune como o vento, tremendo por causa de sua bravura","Ybytu îabé osunung, i abaeté suí osyîa"
Deveria mandá-lo,Aîmondó-monẽmo
Apressei-me muito,Anhemoaîu-katu
Vai-te daqui já!,Ekûá ké suí ra'a!
"Honro tua casa, dentro dela dançando","Aîmomba'eté nde roka, i pupé gûiporaseîa"
Que aumenteis o amor a Deus neste mundo,Ikó 'ara pupé Tupã raûsubagûera ta pemoîoapyr
Ralo mandioca,Amie'ẽ
"Tu não sossegas, não sabendo as ações dos inimigos","Na nde apysyki, tobaîara rekorama kuabe'yma"
Que conheça o caminho do céu,T'oîkuab ybaka piara
"Oxalá eu esteja muito bela, para que os homens me desejem","Xe porangeté temomã, a'emo abá xe potari"
Morro subitamente,Amanõ-memûã
"Compadeceste-te deles por ocasião de sua doença, acendendo seu fogo, alimentando-os, procurando-lhes alimento?","Eresaûsubarype i mba'easyreme, satá-á, i poîa, i poraká?"
"Mandando fazê-los embarcar numa arca de madeira, semelhante a um navio","Ybyrá karamemûã, ygarusu nungara pupé i mo'aruká"
Antecipei sua fala,Aînhe'engenondear
três chefes,mosapyr morubixaba
lasca de madeira,ybyrá-pesembûera
Pagaste já o objeto de teu furto?,Eresepyme'eng ygûãpe nde mondasagûera?
Esbofeteei suas têmporas,Aîatypetek
"Os cristãos como uma unidade, a consorciação deles","I mongaraibypyretá oîepegûasu îasûá, i îogûerekó anhẽ"
Como seus discípulos procederam vendo tratar assim a seu senhor?,Marãpe i boîá rekóû emonã o îara rerekó repîaka?
Eu tenho a carne palpitante,Xe ro'o-tytyk
"Logo, decerto, passarás no lugar onde moro",Koromõ ipó eregûatá xe rekoápe
mas antes,-te nakó
Parti,Aîupabok
Levo-o junto de mim,Arasó xe apyri
O que me cabe é tomar cauim,Xe potaba kaûĩ rá
Os pecadores que não se confessam bem,I angaîpaba'e onhemombe'ukatue'ymba'e
"Oh! Que há aqui, na verdade, semelhante a um canindé azul?","To! Anhẽ, mba'epe ké kanindé-oby îasûara?"
"Sus, que ele vá!",Ne'ĩ t'osó!
Ela é salobra,Se'ẽ-byk
Falei duramente,Anhe'eng-atã
ao longo das pedras,itá ybyri
Sinto que tu queres ir para o fogo do diabo,Anhandub Anhanga ratápe nde só-potara
As leis de nossa alma fez para a gente,Asé 'anga rekorama oîmonhang asébe
Dentro daquele navio fazendo-os embarcar consigo também,A'e ygarusu pupé sero'arukáno
areia preta,ybyku'i-una
"De costume, eu não ando a estas horas",Sekoabanhẽ nãnyme xe gûatae'ym
"Enfeitando-se, querendo que as pessoas o desejem","Oîemongatyrõmo, abá o potara potá"
Afligiu-o muito,Oîmomboreaûsu-katu
"Em mim confiam, bem em mim apoiando-se","Xe resé oîerobîá, xe resé-katu oîekoka"
Feriste alguém também?,Ereîapixabype amõno?
Aperta a cabeça do maldito,Oîopyk muru akanga
brancura,morotinga
Eu tenho o rosto esburacado,Xe robá-pu-puk
"Diante deles os diabos ajuntando-se, querendo engoli-los, estando a abrir suas bocas","Sobaké Anhanga onheŷnhanga, i mokona motá, oîeîurupirá okûapane"
Matou todos os homens,Opá abá îukáû
"Estejas bem, ó meu mestre!","Eîkobé-katu, xe mbo'esar gûy!"
"Desejando ardentemente ver o nenenzinho, vim de minha casa","Pitangĩ repîaka'upa, aîur xe roka suí"
"Como o vento zune, tremendo por causa de sua bravura","Ybytu îabé osunung, î abaeté suí osyîa"
"prato côncavo, prato fundo",nha'ẽ-pyko'ẽ
Em vão o padre quer convertê-la a Deus,E'i tenhẽ abaré Tupã resé serobaka potara'upa
"Ali também estão os meninos, as meninas, as moças que guardaram seus corpos em Deus","A'epe bé kunumĩ, kunhataĩ, kunhãmuku Tupã resé ogûeté onongatuba'epûera rekóû"
Enfim chegou,Té osyka
Eu sou fujão,Xe kanhemixûer
Meu pai foi?,Xe rubape osó?
Oxalá Deus mandasse os cadáveres de toda parte falarem o que terá sido o seu enterro,Omonhe'enguká temõ Tupã te'õmbûera kóbo i tỹmbûerama
Os cristãos como uma unidade,I mongaraibypyretá oîepegûasu îasûá
Não dormi absolutamente para procurá-los,N'aker-angáî sekasápe
Ama a todos os moradores do lugar,Opakatu tapiîara osaûsu
"Suponho eu que ele tenha ido, de fato","""Osó ipó"" a'ea'ub niã ixé"
Eu fiz confusão,Xe apatynã
Fi-lo meu senhor,Amombiaryîar
Endireitei-o,Aîaparok
guará da cara manchada,gûaraobanhana
chifre de boi,tapi'irusu 'aka
Mandou trucidar as crianças habitantes da aldeia de Belém e também as habitantes das vizinhanças dela,Taba Belém pora pitanga i amundaba pora abé apiti-ukari
A ele eu beijarei suas faces,A'e ipó asetobapé-pyténe
Aqui estamos para nos alegrar,Kó oroîkó oronhemborypa
desinteresse pela lei de Deus,Tupã rekó resé nhemoryryîe'yma
"Basta, tu me matas!","Aûîé, xe îuká îepé!"
Quiseste muito ouvir difamações que alguém profere?,Eresendu-potá-katupe terapûanaíba abá remimombe'u?
Matais,Peîuká
Não se separam na guerra,N'i xandoki marana ri
O que não é morto,Miîukae'yma
"Estão queimando, conservando suas vidas",Okaî oúpa o ekobé rerekóbo
"Vai, pois",Ekûãî rõ
"Não abrandam sua raiva, não perdoam","N'oîmogûabi o nhemoŷrõ, n'i nhyrõî"
Mas não tentam esses aprender sempre?,N'osa'angi-tep'akó nhembo'e ko'arapukuî?
"Tu és a manhã, verdadeira alegria do dia","Nde ko'ema, 'ara rorypabeté"
"O sol brilha, certamente, após passar a grande noite","Kûarasy, nipó, oberá, putunusu kûab'iré"
"Para onde Pilatos retirou-o, então?",Mamõpe Pilatos senosemi a'ereme?
"Verdadeiramente, eis aqui teu caminho Não quero que tu te percas","Anheté, kó nde rapé Nd'aîpotari nde ropara"
"Esses, enfim, não diferem da cobra, isso porque a cobra, antes de fazer destruir a vida daquele que morde, deixa sua própria vida ao pisarem sua cabeça","Aîpoba'e tene nd'oîabyî mboîa, mba'etakó mboîa o emindu'u rekobé mokanhemukar-y îanondé, o ekobé reîari o akanga patukasagûerype"
Colocando-o dentro de um túmulo de pedra em que ninguém estava enterrado,Itá karamemûã abá tymagûere'yma pupé i mondepa
"Assim como esta água lava o corpo da gente, aquela também","Akó 'y asé reté moîasuka îabé, akûeîa îabé"
"Amo Pedro, assim como a seu filho",Asaûsub Pedro ta'yra resebé
Renderam-se os oponentes,I aûîé mu'amarûera
levantadoras de mentiras,mo'ema mopu'ambara
"O próprio Deus, com sua santidade, as almas e os corpos deles fez","Tupã aé, o karaíba pupé, i 'anga seté monhangi"
Queres ouro?,Ereîpotápe itaîuba?
coleira de ferro para prender pessoas,itá-îurutá
"Verdadeira estância de Deus, filha de Deus","Tupã rendabeté, Tupã raîyra"
Por isso mesmo é que constituiu os padres como seus apaziguadores,Nd'e'i te'e abaré moingóbo o monhyrõsaramo
"Caem, às vezes, os frutos das suas árvores, sendo ainda flores",Okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé
dia de guarda e de jejum,"ara i pîasaba, îekuakupaba"
Estou em guerra,Aîkó marana ri
Eu tenho cabelos muito arrepiados,Xe 'a-tyragûasu
mau ar,araíba
Pratiquei todos os jejuns,Aîá pá îekuakuba
"Num dia semelhante a este, Santa Maria foi para visitar uma certa prima sua, Santa Isabel",Kó 'ara nungara pupé Santa Maria sóû o ykera amõ ybá Santa Isabel supa
em meio de campo repartindo-os,nhũ-myterype i mbo'îabo
Fazendo o doente ter esperança,Mba'easybora moîerobîaruká
"coisa cotidiana, o que é de cada dia",ko'arapukuîndûara
Sigo-lhe o rastro,Asakypûembour
Com minha esposa ajudar-nos-emos um ao outro,T'oroîopytybõne xe remirekó ndi
Vivo retirando-as [quando são muitas coisas],Anosẽ-sem
Guardei todos os jejuns,Aîá pá îekuakuba
Hás de ser,Nde ram
Que saia o diabo dela,T'osẽ anhanga i xuí
Porventura tinha o maldito sua cintura rompida?,I ku'a-sorok serã moxy?
"Vem, coisa fedorenta!","Eîori, mba'e-nem!"
Eu tenho o coração angustiado,Xe py'a-ekotebẽ
"Tua alma entregando para o diabo, ele se compraz muito","Nde 'anga me'enga anhanga pé, oangabó-katu"
Cerquei-o,Aîpemim
"Querem, sem mais, que as amem, ficando a enfeitar-se","O aûsuba oîpotarĩ, oîemomorã-moranga"
Passeei,Aîebyîebyr
Vais em busca de meu pai?,Xe ruba supépe eresó?
vagem seca,Topé-tininga
Tragamo-lo!,T'iru! ou Iru!
Assim deve de ser,Emonã ruãpe rĩ
Eu sou enfermiço,Xe mba'easypotar
O próprio padre responsável por eles que o julgue,Abaré serekoara aé t'osekokuab
Sobram-me sauiás,Xe resemõ sauîá
"Entram grandes espinhos, espetando sua cabeça",Oîké îugûasu i akanga kutuka
nossas coisas mútuas,oré îomba'e
"Não existem mais absolutamente suas antigas terras Todas, há tempos, não contêm muita coisa",N'i tyb-angáî setãmbûera Opá akûeîme n'i poretáî
Vou para junto de meu pai,Asó xe ruba pyri
Vós mentis,Pe îuraragûaî
Estou assentado torto,Aín-apẽ
Todos os vícios colocaram bem em seus corações,Opabĩ tekoaíba mondebi-katu o py'ape
Graças a Deus meu pai veio!,Our-eté'ĩ xe ruba mã!
Oxalá não fosse eu,Na xe ruã-eté ikó mã
Vamos para quebrar as cabeças dos reis,Îasó tubixaba akanga kábo
Lavando a maldade de nossa alma,Oré 'anga poxy reîa
"Quando o sol estava no alto de nossas cabeças, eu vim","Asé 'apyterype 'ara ruî - No alto de nossas cabeças o sol está Îandé 'apytera 'arybo 'ara rume, xe ruri"
Mandou-os como diabos para fazer o fogo que não se apagará,Anhangamo nhẽ i mondóû tatá ogûeba'erame'yma monhanga
largamente,marangatu-eté
"Existe meu auxiliar verdadeiro, o que trabalha junto de mim","Oîkobé xe pytybõanameté, xe pyri marãtekoara"
ira que te impregna,nhemoŷrõ nde momungasara
passarinho,gûyrá-mirĩ
Ó minha mãe! [Usava-se também por quem respondia,Xe sy îu!
topo de escada,mytamytá-ypy
o que foi encarcerado na prisão,mundeokype i mondebypyrûera
"Eu hei de mentir, dizendo isso",Xe remo'em ká é aîpó ûi'îabo
"Eu estou de rosto amarelo, eu estou pálido",Xe robá-îub
Mataram erradamente a fulano em lugar do assassino,Ahẽ morapitîarûera tatenhẽ anhẽ ybŷá oîuká
"Isso Nosso Senhor impede, repelindo-o das pessoas","Anga Îandé Îara oîmoabaíb, morosuí i mondóbo"
De cada um de vós o Senhor Deus encarregou um anjo,Pe îabi'õ Pa'i Tupã karaibebé moingóû
"Deus parece obter descanso, como se fazer quaisquer coisas fosse cansaço de Deus",Mutu'u resé Tupã îekosu-berame'ĩ Tupã kane'õ mba'e tetiruã monhanga îaramẽ
Após tocar em seu segundo cônjuge,I mendá-mokõîa resé i byk'iré
Por lavar a sujeira de nossa alma,Asé 'anga ky'a reîme
Parece voar,Obebé-berame'ĩ
levemente,bebuî-nhõte
Não lhe quis fazer mal o neném compadecedor,Nd'îaîmomarã-potari pitangĩ-moraûsubara
Carpi,Akapir
Quantos são os chefes principais por aqui?,Mobype tubixá-katu kybõ?
Castigar os que procedem mal,Oîkó-memûãba'e renonhena
Eu sou pequeno!,Xe mirĩ!
